DATE,AvgTone
20230109,-2.039761310102043
20230110,-1.9327363284192587
20230111,-1.8740125462672246
20230112,-1.806059338357966
20230113,-1.8189717632208826
20230114,-2.1400708981836107
20230115,-1.9714069720637195
20230116,-1.8239426352045853
20230117,-1.8752299847176934
20230118,-1.9153919418017198
20230119,-1.866478056445467
20230120,-1.8052917246062639
20230121,-2.096597003384453
20230122,-2.1064223203295986
20230123,-1.9832968492889518
20230124,-2.0540687850178525
20230124,-2.0540687850178525
20230125,-2.046080038841934
20230126,-2.174768335202532
20230127,-2.446684249064238
20230128,-2.770865001433903
20230129,-2.4794397165941024
20230130,-2.2207194057155784
20230131,-2.0725179277996606
20230201,-2.0105527839820616
20230202,-2.018362885053042
20230203,-1.987028014651571
20230204,-2.0989072720791984
20230205,-2.0055889137904455
20230206,-1.9321549318049074
20230207,-1.9352540886039555
20230208,-1.7078110798199007
20230208,-1.7078110798199007
20230209,-1.7197177660179326
20230210,-1.8993733385864462
20230211,-1.9860133121977586
20230212,-1.7832199693725606
20230213,-1.7310130783327142
20230214,-1.7850496225086712
20230215,-1.7957162817459995
20230216,-1.8967613324750863
20230217,-1.9526530435440408
20230218,-2.115926248317041
20230219,-1.934354044492667
20230220,-1.6620777875618893
20230221,-1.8295902914949576
20230222,-1.7898392436111148
20230223,-2.0468713334429722
20230223,-2.0468713334429722
20230224,-2.0343234054314108
20230225,-1.9834651095541413
20230226,-2.0007177867021695
20230227,-1.8770492405528543
20230228,-1.8802543488231889
20230301,-1.7679787782337302
20230302,-1.7991060927750047
20230303,-1.9322195617102829
20230304,-2.103755641498562
20230305,-2.0176293238825407
20230306,-1.9204460349066095
20230307,-2.015866086214435
20230308,-1.8952881651774767
20230309,-1.9657959886981125
20230310,-1.95787717052355
20230310,-1.95787717052355
20230311,-1.818569447472187
20230312,-1.825801325327344
20230313,-1.621067818704012
20230314,-1.7740531525589318
20230315,-1.775138860791402
20230316,-1.8352625251298669
20230317,-1.8466676684012933
20230318,-2.206926675080143
20230319,-2.09867299760757
20230320,-1.8627196939159119
20230321,-1.9285484836320888
20230322,-1.531680962689675
20230323,-1.8183442492666009
20230324,-1.9953206598570228
20230325,-1.972537305370003
20230325,-1.972537305370003
20230326,-1.8374518039191357
20230327,-1.7812134249074658
20230328,-1.9232849360622803
20230329,-1.8035882910725651
20230330,-1.8703579248124447
20230331,-1.9933608013951514
20230401,-1.8586263960892815
20230402,-1.9570559479656513
20230403,-1.7848695631289055
20230404,-1.951821516810648
20230405,-1.8332873534292944
20230406,-1.7606168538060383
20230407,-2.022773727557575
20230408,-2.151601364879362
20230409,-1.9301006623920127
20230409,-1.9301006623920127
20230410,-1.8838643518976972
20230411,-1.8457420480653257
20230412,-1.6435982693964954
20230413,-1.7157347348238323
20230414,-1.8119109739748096
20230415,-1.8273224042621514
20230416,-2.0455215396555495
20230417,-1.996985099251498
20230418,-1.8842394762262937
20230419,-1.7468358825787824
20230420,-1.6466932076209622
20230421,-1.641529783808639
20230422,-1.7740901100179456
20230423,-1.9481602043772763
20230424,-1.719116372382428
20230424,-1.719116372382428
20230425,-1.8407812972647215
20230426,-1.8076043273898061
20230427,-1.7318554596948996
20230428,-1.6361676139420376
20230429,-1.7739836894303314
20230430,-1.6931215881056223
20230501,-1.5905444927896837
20230502,-1.6922728553434703
20230503,-1.7858921872451645
20230504,-1.840142363747212
20230505,-1.6382877766764554
20230506,-1.3181042970570427
20230507,-1.6435056285262293
20230508,-1.737674062004647
20230509,-1.894834720119997
20230509,-1.894834720119997
20230510,-1.8602392636674003
20230511,-1.877529684788173
20230512,-1.9538804394742522
20230513,-1.8372291375074705
20230514,-1.482078558688166
